日期 最高气温 最低气温 天气 风向 风力
2018-01-01 12 3 多云 东南风 2级
2018-01-02 12 4 阴 西北风 3级
2018-01-03 10 5 中雨 东北风 2级
2018-01-04 5 3 中雨 北风 2级
2018-01-05 6 2 小雨 东北风 2级
2018-01-06 7 3 小雨 东南风 3级
2018-01-07 8 1 小雨 北风 2级
2018-01-08 4 -2 阴 西北风 1级
2018-01-09 7 -2 晴 西南风 2级
2018-01-10 10 -2 晴 北风 2级
2018-01-11 9 -2 晴 西北风 2级
2018-01-12 7 -2 晴 东风 2级
2018-01-13 8 -1 晴 东南风 2级
2018-01-14 12 3 晴 北风 微风
2018-01-15 14 3 多云 北风 1级
2018-01-16 16 7 阴 东北风 2级
2018-01-17 14 4 多云 东风 2级
2018-01-18 13 7 多云 西北风 2级
2018-01-19 10 6 阴 东北风 1级
2018-01-20 9 6 小雨 东风 2级
2018-01-21 8 5 中雨 南风 2级
2018-01-22 12 4 多云 东北风 微风
2018-01-23 9 2 小雨 东北风 2级
2018-01-24 4 0 小雨 东北风 2级
2018-01-25 1 -1 中到大雪 东北风 3级
2018-01-26 1 -1 阴 东北风 2级
2018-01-27 1 -1 小到中雪 东北风 4级
2018-01-28 1 -3 小雪 西风 2级
2018-01-29 2 -5 多云 北风 1级
2018-01-30 3 -2 多云 西南风 1级
2018-01-31 2 -3 小雪 西北风 1级
