日期 最高气温 最低气温 天气 风向 风力
2018-03-01 -8 -20 阵雪 西北风 2级
2018-03-02 -6 -16 多云 北风 1级
2018-03-03 -5 -15 大雪 西风 3级
2018-03-04 -7 -20 晴 西南风 2级
2018-03-05 -8 -19 晴 西风 2级
2018-03-06 -9 -22 多云 南风 1级
2018-03-07 -10 -21 阵雪 北风 1级
2018-03-08 -9 -24 多云 西风 1级
2018-03-09 -9 -23 晴 东风 2级
2018-03-10 -6 -23 多云 西风 2级
2018-03-11 -5 -15 晴 南风 3级
2018-03-12 4 -5 多云 东南风 2级
2018-03-13 4 -7 多云 北风 2级
2018-03-14 2 -10 雨夹雪 北风 4级
2018-03-15 -3 -17 多云 西北风 3级
2018-03-16 1 -9 晴 西南风 3级
2018-03-17 6 -4 晴 南风 2级
2018-03-18 8 -9 多云 北风 4级
2018-03-19 -1 -13 晴 北风 2级
2018-03-20 3 -9 晴 东南风 2级
2018-03-21 6 -6 晴 南风 2级
2018-03-22 11 -2 晴 南风 2级
2018-03-23 12 -2 多云 西南风 2级
2018-03-24 14 1 晴 西南风 2级
2018-03-25 17 0 多云 东北风 2级
2018-03-26 20 4 晴 西南风 5级
2018-03-27 21 4 多云 西南风 6级
2018-03-28 13 -1 多云 西风 1级
2018-03-29 10 -1 晴 西风 1级
2018-03-30 14 2 多云 西南风 2级
2018-03-31 10 0 阵雨 西风 2级
