日期 最高气温 最低气温 天气 风向 风力
2018-04-01 27 17 多云 东风 2级
2018-04-02 27 18 雷阵雨 东南风 2级
2018-04-03 29 12 雷阵雨 东风 2级
2018-04-04 13 10 阴 东风 3级
2018-04-05 11 7 中到大雨 西北风 2级
2018-04-06 16 5 多云 北风 3级
2018-04-07 14 7 晴 南风 1级
2018-04-08 22 10 晴 西风 1级
2018-04-09 27 15 晴 东南风 2级
2018-04-10 29 18 晴 西南风 2级
2018-04-11 27 16 多云 东风 3级
2018-04-12 19 14 阵雨 东风 4级
2018-04-13 19 14 阴 西南风 2级
2018-04-14 14 9 阵雨 西风 2级
2018-04-15 20 8 晴 东北风 2级
2018-04-16 19 9 多云 东风 2级
2018-04-17 22 11 晴 东南风 2级
2018-04-18 26 13 晴 东南风 1级
2018-04-19 29 15 晴 东风 2级
2018-04-20 30 18 多云 东风 2级
2018-04-21 27 20 雷阵雨 东南风 2级
2018-04-22 25 17 雷阵雨 西风 1级
2018-04-23 17 13 阵雨 北风 3级
2018-04-24 19 11 多云 北风 微风
2018-04-25 23 14 多云 东北风 1级
2018-04-26 23 14 多云 西南风 2级
2018-04-27 28 14 多云 东南风 微风
2018-04-28 29 17 多云 东风 2级
2018-04-29 28 19 雷阵雨 西南风 1级
2018-04-30 30 20 雷阵雨 东南风 2级
