日期 最高气温 最低气温 天气 风向 风力
2018-05-01 24 13 浮尘 西风 3级
2018-05-02 25 13 多云 西南风 2级
2018-05-03 24 10 晴 西南风 2级
2018-05-04 27 16 晴 南风 1级
2018-05-05 26 13 阴 东风 1级
2018-05-06 28 14 晴 西南风 3级
2018-05-07 28 12 晴 南风 2级
2018-05-08 27 13 晴 西南风 2级
2018-05-09 27 16 晴 西南风 3级
2018-05-10 26 18 多云 东南风 1级
2018-05-11 23 15 小雨 东风 2级
2018-05-12 28 16 雷阵雨 西南风 2级
2018-05-13 30 17 晴 南风 2级
2018-05-14 34 22 多云 西南风 2级
2018-05-15 30 22 小雨 北风 2级
2018-05-16 28 21 多云 东南风 2级
2018-05-17 25 19 小雨 西风 1级
2018-05-18 28 16 晴 南风 2级
2018-05-19 28 16 多云 西风 1级
2018-05-20 20 16 小雨 东风 2级
2018-05-21 18 14 小雨 西风 1级
2018-05-22 25 10 晴 西北风 4级
2018-05-23 29 15 晴 西南风 4级
2018-05-24 31 17 晴 西南风 2级
2018-05-25 32 19 多云 西南风 3级
2018-05-26 30 17 雷阵雨 北风 3级
2018-05-27 32 18 多云 西南风 3级
2018-05-28 30 16 晴 东北风 2级
2018-05-29 31 16 多云 西南风 2级
2018-05-30 33 18 晴 西南风 2级
2018-05-31 35 19 晴 西南风 2级
