日期 最高气温 最低气温 天气 风向 风力
2018-09-01 28 19 多云 西南风 2级
2018-09-02 27 19 多云 南风 微风
2018-09-03 32 19 晴 北风 2级
2018-09-04 30 18 晴 南风 3级
2018-09-05 31 20 晴 西南风 2级
2018-09-06 27 18 多云 西南风 1级
2018-09-10 28 19 多云 东南风 微风
2018-09-11 26 19 多云 南风 1级
2018-09-12 29 18 多云 南风 2级
2018-09-13 29 20 多云 南风 2级
2018-09-14 28 19 小雨 东南风 1级
2018-09-16 25 14 晴 西南风 2级
2018-09-17 27 16 多云 南风 微风
2018-09-18 25 17 阴 西南风 1级
2018-09-19 25 17 多云 西风 微风
2018-09-20 27 16 多云 西南风 2级
2018-09-21 25 14 晴 南风 2级
2018-09-22 24 13 晴 西风 2级
2018-09-23 24 12 晴 北风 1级
2018-09-24 23 11 晴 东南风 1级
2018-09-25 24 12 晴 南风 2级
2018-09-26 24 14 多云 南风 1级
2018-09-27 22 12 小雨 东南风 1级
2018-09-28 24 11 多云 东风 2级
2018-09-29 21 10 晴 西北风 2级
2018-09-30 19 13 多云 北风 3级
