日期 最高气温 最低气温 天气 风向 风力
2018-08-01 34 26 阵雨 东风 2级
2018-08-02 33 25 雷阵雨 东风 1级
2018-08-03 30 24 大雨 西风 2级
2018-08-04 36 27 多云 西南风 2级
2018-08-05 36 27 晴 东风 2级
2018-08-06 37 27 晴 南风 2级
2018-08-07 37 27 晴 东北风 2级
2018-08-08 37 27 晴 东北风 2级
2018-08-09 36 27 晴 东风 1级
2018-08-10 36 27 晴 东北风 1级
2018-08-11 35 25 多云 东北风 2级
2018-08-12 31 26 大雨 东风 2级
2018-08-13 33 25 阵雨 北风 2级
2018-08-14 35 26 多云 东北风 4级
2018-08-15 34 27 多云 东南风 1级
2018-08-16 31 25 中雨 西北风 2级
2018-08-17 30 24 中到大雨 东风 微风
2018-08-18 34 26 多云 南风 2级
2018-08-19 36 26 多云 东南风 2级
2018-08-20 35 26 雷阵雨 北风 2级
2018-08-21 33 26 阵雨 东北风 3级
2018-08-22 33 25 多云 东北风 1级
2018-08-23 33 25 多云 西北风 2级
2018-08-24 33 25 多云 东北风 2级
2018-08-25 27 21 中雨 北风 2级
2018-08-26 29 25 中雨 东风 1级
2018-08-27 33 26 多云 东南风 2级
2018-08-28 34 26 多云 东南风 3级
2018-08-29 34 26 多云 南风 2级
2018-08-30 35 26 多云 南风 2级
2018-08-31 33 26 阵雨 西北风 2级
