日期 最高气温 最低气温 天气 风向 风力
2018-02-01 4 -6 晴 东北风 1级
2018-02-02 6 -4 多云 北风 2级
2018-02-03 2 -7 晴 东北风 2级
2018-02-04 3 -6 晴 东北风 1级
2018-02-05 5 -5 晴 西风 2级
2018-02-06 4 -4 晴 东风 2级
2018-02-07 6 -4 多云 西风 1级
2018-02-08 6 -2 晴 东风 2级
2018-02-09 9 3 阴 东南风 1级
2018-02-10 7 -2 阴 北风 1级
2018-02-11 9 -4 晴 西北风 3级
2018-02-12 8 -3 晴 西风 2级
2018-02-13 13 1 晴 东南风 2级
2018-02-14 17 5 多云 东风 2级
2018-02-15 8 4 小雨 东风 3级
2018-02-16 9 2 阴 东南风 1级
2018-02-17 12 2 多云 东风 4级
2018-02-18 8 5 小雨 东风 1级
2018-02-19 5 3 小到中雨 东风 3级
2018-02-20 7 3 中雨 东北风 2级
2018-02-21 7 3 阴 北风 1级
2018-02-22 11 2 多云 西南风 1级
2018-02-23 15 5 晴 东南风 2级
2018-02-24 12 6 阴 东北风 2级
2018-02-25 11 2 多云 东风 2级
2018-02-26 15 5 晴 南风 2级
2018-02-27 17 7 小雨 东南风 2级
2018-02-28 12 7 阴 西南风 微风
